INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22139;2021;2;0;68500,00;748,50;94,00;;
22140;2018;5;1;128183,33;1624,33;81,67;;
22140;2019;8;1;130904,44;1455,11;92,00;;
22140;2020;1;0;175000,00;1902,00;92,00;;
22140;2021;9;1;172250,00;1630,60;109,20;;
22141;2018;1;0;135000,00;1378,00;98,00;;
22141;2019;5;0;154000,00;1713,40;89,20;;
22141;2021;1;0;85000,00;1417,00;60,00;;
22143;2018;25;6;139789,35;1702,84;84,48;;
22143;2019;29;14;129459,77;1636,26;80,47;;
22143;2020;27;7;182758,24;1930,50;94,44;;
22143;2021;29;7;232508,33;2350,47;98,31;;
22144;2018;7;1;149606,25;1672,00;89,88;;
22144;2019;7;0;157783,29;1485,14;106,14;;
22144;2020;10;0;166915,00;1494,00;109,60;;
22144;2021;11;0;246283,18;1936,27;131,00;;
22145;2018;18;0;120768,89;1057,50;114,78;;
22145;2019;17;0;114667,65;1118,00;102,71;;
22145;2020;22;0;123772,36;1237,27;106,32;;
22145;2021;21;0;159604,76;1643,48;100,90;;
22146;2018;7;0;48142,86;652,86;75,00;;
22146;2019;5;0;93200,00;2251,60;53,20;;
22146;2020;4;0;98750,00;1066,00;88,75;;
22146;2021;21;0;105016,19;1229,52;85,57;;
22147;2018;35;5;81531,25;930,23;88,48;;
22147;2019;32;2;89792,65;988,65;91,35;;
22147;2020;43;3;97074,46;989,54;101,04;;
22147;2021;43;2;109755,56;1139,58;97,29;;
22148;2018;3;0;74058,33;1496,67;73,00;;
22148;2019;5;0;119540,00;1343,80;94,20;;
22148;2020;3;0;53333,33;628,33;85,33;;
22148;2021;5;0;106487,20;951,60;111,40;;
22149;2018;7;0;77657,14;853,29;99,86;;
22149;2019;8;0;55903,13;701,13;86,13;;
22149;2020;10;0;102670,00;976,40;107,00;;
22149;2021;9;1;102030,70;1284,00;82,20;;
22150;2018;9;0;142166,67;1631,78;90,89;;
22150;2019;11;0;154727,27;1379,82;110,55;;
